Film,US_release_date,Box_office_gross_Domestic_US_and_Canada,Box_office_gross_Other_territories,Box_office_gross_Worldwide,Budget,MCU,Phase,Distributor,MPAA_Rating,Length,Minutes,Franchise,Character_Family,Domestic_%,Gross_to_Budget,Rotten_Tomatoes_Critic_Score,Male_Female_led,Year,Inflation_Adjusted_Worldwide_Gross,Inflation_Adjusted_Budget,2.5x_prod,Break_Even
Hulk,2003-06-20,132177234,113107931,245285165,137000000,FALSE,NA,Universal Pictures,PG-13,02:18:00,138,Marvel,Hulk,54%,1.79,63,Male,2003,245285165,137000000,342500000,Flop
The Punisher,2004-04-16,33810189,20889916,54700105,33000000,FALSE,NA,Lions Gate Films,R,02:04:00,124,Marvel,Punisher,62%,1.66,29,Male,2004,54700105,33000000,82500000,Flop
Spider-Man 2,2004-06-30,373585825,415390628,788976453,200000000,FALSE,NA,Sony Pictures Entertainment ,PG-13,02:07:00,127,Marvel,Spider-Man,47%,3.94,93,Male,2004,788976453,200000000,500000000,Success
Catwoman,2004-07-23,40202379,42200000,82402379,100000000,FALSE,NA,Warner Bros.,PG-13,01:44:00,104,DC,Batman,49%,0.82,8,Female,2004,132917604,161303115,250000000,Flop
Blade: Trinity,2004-12-08,52411906,79565998,131977904,65000000,FALSE,NA,New Line Cinema,R,01:53:00,113,Marvel,Blade,40%,2.03,24,Male,2004,131977904,65000000,162500000,Flop
Elektra,2005-01-14,24409722,32585924,56995646,43000000,FALSE,NA,Twentieth Century Fox,PG-13,01:37:00,97,Marvel,Daredevil,43%,1.33,11,Female,2005,56995646,43000000,107500000,Flop
Constantine,2005-02-18,75976178,154908550,230884728,100000000,FALSE,NA,Warner Bros.,R,02:01:00,121,DC,Constantine,33%,2.31,46,Male,2005,360219878,156017196,250000000,Flop
Batman Begins,2005-06-15,206863479,168435467,375298946,150000000,FALSE,NA,Warner Bros.,PG-13,02:20:00,140,DC,Batman,55%,2.5,85,Male,2005,585530891,234025794,375000000,Success
Fantastic Four,2005-07-08,154696080,178839854,333535934,100000000,FALSE,NA,Twentieth Century Fox,PG-13,01:46:00,106,Marvel,Fantastic Four,46%,3.34,28,Male,2005,333535934,100000000,250000000,Success
X-Men: The Last Stand,2006-05-26,234362462,226072829,460435291,210000000,FALSE,NA,Twentieth Century Fox,PG-13,01:44:00,104,Marvel,X-Men,51%,2.19,57,Male,2006,460435291,210000000,525000000,Flop
Superman Returns,2006-06-28,200081192,191000000,391081192,270000000,FALSE,NA,Warner Bros.,PG-13,02:34:00,154,DC,Superman,51%,1.45,74,Male,2006,591086599,408082478,675000000,Flop
Ghost Rider,2007-02-16,115802596,112935797,228738393,110000000,FALSE,NA,Sony Pictures Entertainment ,PG-13,01:50:00,110,Marvel,Ghost Rider,51%,2.08,27,Male,2007,228738393,110000000,275000000,Flop
Spider-Man 3,2007-05-01,336530303,558453070,894983373,258000000,FALSE,NA,Sony Pictures Entertainment ,PG-13,02:19:00,139,Marvel,Spider-Man,38%,3.47,63,Male,2007,894983373,258000000,645000000,Success
